league,opp,opp2,result,conf,ROI,date,outcome
ligue-1,Amiens,Bordeaux,>2.5,Med conf,+64,21.10.17,lose
ligue-1,Angers,Toulouse,1,High conf,+77,21.10.17,lose
ligue-1,Metz,Dijon,>2.5,High conf,+66,21.10.17,win
ligue-1,Nantes,Guingamp,1,Med conf,+54,21.10.17,win
ligue-1,Rennes,Lille,2,Low conf,+164,21.10.17,lose
championship,Aston Villa,Fulham,BTTS,High conf,+72,21.10.17,win
championship,Barnsley,Hull,1X,High conf,+74,21.10.17,lose
championship,Bolton,QPR,1X,Med conf,+45,21.10.17,win
championship,Brentford,Sunderland,1X,Med conf,-20,21.10.17,win
championship,Bristol City,Leeds,1X,High conf,+42,21.10.17,lose
championship,Derby,Sheffield Weds,1X,High conf,+48,21.10.17,win
championship,Middlesbrough,Cardiff,2,Low conf,+168,21.10.17,win
championship,Nott'm Forest,Burton,>2.5,Med conf,+47,21.10.17,lose
championship,Wolves,Preston,1X,High conf,+31,21.10.17,win
championship,Millwall,Birmingham,BTTS,Low conf,+24,21.10.17,lose
bundesliga,M'gladbach,Leverkusen,1,High conf,+76,21.10.17,lose
bundesliga,Ein Frankfurt,Dortmund,1,Low conf,+316,21.10.17,lose
bundesliga,Augsburg,Hannover,X2,Low conf,-209,21.10.17,win
bundesliga,RB Leipzig,Stuttgart,1X,Med conf,+62,21.10.17,win
bundesliga,Hamburg,Bayern Munich,X,Low conf,+599,21.10.17,lose
serie-a,Sampdoria,Crotone,1,High conf,+44,21.10.17,win
serie-a,Napoli,Inter,2,Low conf,+311,21.10.17,lose
premier-league,Chelsea,Watford,1X,High conf,+27,21.10.17,win
premier-league,Huddersfield,Man United,2,Low conf,-36,21.10.17,lose
premier-league,Man City,Burnley,1,Med conf,-39,21.10.17,win
premier-league,Newcastle,Crystal Palace,BTTS,Med conf,+44,21.10.17,lose
premier-league,Stoke,Bournemouth,1,High conf,+106,21.10.17,lose
premier-league,Swansea,Leicester,1,High conf,+171,21.10.17,lose
premier-league,Southampton,West Brom,X2,Med conf,+84,21.10.17,lose
primeira-liga,Estoril,Boavista,1X,Med conf,+24,20.10.17,lose
ligue-1,St Etienne,Montpellier,1X,Low conf,-48,20.10.17,lose
bundesliga,Schalke 04,Mainz,1,Med conf,+69,20.10.17,win
premier-league,West Ham,Brighton,1X,High conf,+29,20.10.17,lose
primera-division,Las Palmas,Celta,X2,Low conf,-45,16.10.17,win
serie-a,Verona,Benevento,12,High conf,+57,16.10.17,win
premier-league,Leicester,West Brom,1X,Med conf,-7,16.10.17,win
primera-division,Eibar,La Coruna,>2.5,Low conf,+15,15.10.17,lose
primera-division,Girona,Villarreal,1,High conf,+170,15.10.17,lose
primera-division,Malaga,Leganes,X2,Low conf,-40,15.10.17,lose
primera-division,Betis,Valencia,1,High conf,+144,15.10.17,lose
ligue-1,Bordeaux,Nantes,1X,Low conf,-62,15.10.17,win
ligue-1,Montpellier,Nice,2,Low conf,+101,15.10.17,lose
ligue-1,Strasbourg,Marseille,2,Low conf,-202,15.10.17,lose
championship,Derby,Nott'm Forest,>2.5,Med conf,+32,15.10.17,lose
bundesliga,Leverkusen,Wolfsburg,1,High conf,+42,15.10.17,lose
bundesliga,Werder Bremen,M'gladbach,>2.5,Low conf,+12,15.10.17,lose
serie-a,Fiorentina,Udinese,1X,High conf,+27,15.10.17,win
serie-a,Bologna,Spal,1X,Med conf,+21,15.10.17,win
serie-a,Cagliari,Genoa,<2.5,High conf,+90,15.10.17,lose
serie-a,Crotone,Torino,X2,High conf,+56,15.10.17,win
serie-a,Sampdoria,Atalanta,1X,Med conf,+56,15.10.17,win
serie-a,Sassuolo,Chievo,2,High conf,+205,15.10.17,lose
serie-a,Inter,Milan,12,Med conf,+37,15.10.17,win
premier-league,Brighton,Everton,<2.5,Low conf,-32,15.10.17,win
premier-league,Southampton,Newcastle,<2.5,Med conf,+28,15.10.17,lose
primera-division,Ath Bilbao,Sevilla,X2,Low conf,-46,14.10.17,lose
primera-division,Getafe,Real Madrid,1,High conf,+941,14.10.17,lose
primera-division,Alaves,Sociedad,>2.5,Low conf,+15,14.10.17,lose
primera-division,Ath Madrid,Barcelona,2,Low conf,-43,14.10.17,lose
ligue-1,Dijon,Paris SG,2,Low conf,-62,14.10.17,win
ligue-1,Caen,Angers,1,High conf,+144,14.10.17,lose
ligue-1,Guingamp,Rennes,12,Med conf,+30,14.10.17,win
ligue-1,Lille,Troyes,X2,Low conf,+51,14.10.17,win
ligue-1,St Etienne,Metz,1,Med conf,+3,14.10.17,win
ligue-1,Toulouse,Amiens,1X,Low conf,-62,14.10.17,win
championship,Barnsley,Middlesbrough,12,High conf,+42,14.10.17,lose
championship,Bolton,Sheffield Weds,>2.5,Med conf,+37,14.10.17,win
championship,Brentford,Millwall,1X,Low conf,-18,14.10.17,win
championship,Fulham,Preston,1X,Med conf,+12,14.10.17,win
championship,Leeds,Reading,X2,Low conf,-118,14.10.17,win
championship,Norwich,Hull,12,High conf,+36,14.10.17,lose
championship,Sunderland,QPR,X2,Low conf,+7,14.10.17,win
championship,Wolves,Aston Villa,12,Med conf,+10,14.10.17,win
bundesliga,Hoffenheim,Augsburg,1,High conf,+84,14.10.17,lose
bundesliga,Bayern Munich,Freiburg,X,High conf,+71,14.10.17,lose
bundesliga,Mainz,Hamburg,1X,Med conf,+28,14.10.17,win
bundesliga,Hannover,Ein Frankfurt,>2.5,Med conf,+23,14.10.17,win
bundesliga,Hertha,Schalke 04,12,Low conf,-31,14.10.17,win
bundesliga,Dortmund,RB Leipzig,X,Low conf,+233,14.10.17,win
serie-a,Juventus,Lazio,1X,High conf,+21,14.10.17,win
serie-a,Roma,Napoli,<2.5,High conf,+90,14.10.17,win
premier-league,Liverpool,Man United,12,High conf,+52,14.10.17,lose
premier-league,Burnley,West Ham,1,High conf,+155,14.10.17,lose
premier-league,Crystal Palace,Chelsea,2,High conf,+29,14.10.17,lose
premier-league,Man City,Stoke,12,Med conf,-47,14.10.17,win
premier-league,Swansea,Huddersfield,2,Med conf,+222,14.10.17,lose
premier-league,Tottenham,Bournemouth,1,High conf,+79,14.10.17,win
premier-league,Watford,Arsenal,1,High conf,+387,14.10.17,win
primera-division,Espanol,Levante,X2,Med conf,+108,13.10.17,win
ligue-1,Lyon,Monaco,1X,Low conf,-43,13.10.17,win
championship,Birmingham,Cardiff,2,Med conf,+79,13.10.17,lose
championship,Bristol City,Burton,1X,Med conf,+0,13.10.17,win
bundesliga,Stuttgart,FC Koln,2,Low conf,+13,13.10.17,lose
primera-division,Sociedad,Betis,X2,Med conf,+73,01.10.17,win
primera-division,Barcelona,Las Palmas,1,Med conf,-24,01.10.17,win
primera-division,Valencia,Ath Bilbao,2,Med conf,+330,01.10.17,lose
primera-division,Villarreal,Eibar,1,Med conf,+14,01.10.17,win
primera-division,Real Madrid,Espanol,1,Med conf,-21,01.10.17,win
primeira-liga,Sp Braga,Estoril,1X,Med conf,-6,01.10.17,win
primeira-liga,Sp Lisbon,Porto,1X,Med conf,+15,01.10.17,win
primeira-liga,Belenenses,Guimaraes,X2,Low conf,-49,01.10.17,win
primeira-liga,Maritimo,Benfica,12,High conf,+39,01.10.17,win
ligue-1,Troyes,St Etienne,12,High conf,+64,01.10.17,win
ligue-1,Angers,Lyon,X2,Low conf,-56,01.10.17,win
ligue-1,Nice,Marseille,2,Low conf,+132,01.10.17,win
championship,Sheffield Weds,Leeds,12,High conf,+40,01.10.17,win
bundesliga,Freiburg,Hoffenheim,2,Low conf,-4,01.10.17,lose
bundesliga,Hertha,Bayern Munich,2,Med conf,-11,01.10.17,lose
bundesliga,FC Koln,RB Leipzig,2,Low conf,+21,01.10.17,win
serie-a,Napoli,Cagliari,1X,Low conf,-89,01.10.17,win
serie-a,Benevento,Inter,2,High conf,+7,01.10.17,win
serie-a,Chievo,Fiorentina,1,High conf,+174,01.10.17,win
serie-a,Lazio,Sassuolo,12,Low conf,-64,01.10.17,rapt
serie-a,Spal,Crotone,1X,Low conf,-47,01.10.17,win
serie-a,Torino,Verona,1X,Low conf,-75,01.10.17,win
